code,movie_tile,lat_lon
t0050825,Paths of Glory,"{'Schleißheim Palace, Oberschleißheim, Bavaria, Germany ': ['48.247757', '11.568414'], 'Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany ': ['48.066689', '11.549976'], 'Munich, Bavaria, Germany ': ['48.1351253', '11.5819806'], 'Pacaria-Filmkunst Studios, Munich, Bavaria, Germany ': ['48.135309', '11.567403'], 'Bernried, Weilheim-Schongau, Bavaria, Germany ': ['47.864397', '11.283754'], 'Bavaria, Germany ': ['48.790447', '11.497889'], 'Germany ': ['51.165691', '10.451526']}"
t0032553,The Great Dictator,"{'Santa Monica Mountains, Los Angeles, California, USA ': ['34.107882', '-118.558176'], 'Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA ': ['34.096495', '-118.343889'], 'City Hall - 100 N. Garfield Avenue, Pasadena, California, USA ': ['34.147692', '-118.14327'], 'Malibu Lake, California, USA ': ['34.107289', '-118.755875'], 'Mulholland Highway, Santa Monica Mountains, Los Angeles County, California, USA ': ['34.108629', '-118.766046'], 'San Fernando Valley, Los Angeles, California, USA ': ['34.182578', '-118.439676'], 'Agoura Hills, California, USA ': ['34.1533395', '-118.7616764'], 'Holly Street, Pasadena, California, USA ': ['34.147659', '-118.15418'], 'Lake Vista Drive, Agoura Hills, California, USA ': ['34.107706', '-118.758843'], 'Laurel Canyon, Hollywood Hills, Los Angeles, California, USA ': ['34.117343', '-118.375308'], 'Reuss Ranch, Malibu Lake, California, USA ': ['34.107', '-118.757'], 'Hollywood Hills, Los Angeles, California, USA ': ['34.1176605', '-118.35203890000003'], 'Hollywood, Los Angeles, California, USA ': ['34.0928092', '-118.32866139999999'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Pasadena, California, USA ': ['34.1477849', '-118.14451550000001'], 'California, USA ': ['36.778261', '-119.41793239999998']}"
t0081505,The Shining,"{'Timberline Lodge, Mount Hood, Oregon, USA ': ['45.331131', '-121.711007'], 'Going-to-the-Sun Road, Glacier National Park, Montana, USA ': ['48.6282193', '-113.86433290000002'], 'Saint Mary Lake, Glacier National Park, Montana, USA ': ['48.699538', '-113.488689'], 'Glacier National Park, Montana, USA ': ['48.7596128', '-113.78702250000003'], 'Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Kensington Apartment Homes - 2950 Bixby Lane, Boulder, Colorado, USA ': ['40.00245', '-105.25527'], 'London Stansted Airport, Bassingbourn Road, Stansted Mountfitchet, Essex, England, UK ': ['51.8860181', '0.23886609999999564'], 'American Legion Hollywood Post 43, Los Angeles, California, USA ': ['34.107778', '-118.337778'], 'Stage 4, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Stage 5, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Stage 1, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Backlot, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Stage 3, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Stage 7, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Stage 8, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Backlot, MGM British Studios, Borehamwood, Hertfordshire, England, UK ': ['51.657728', '-0.272308'], 'Stage 9, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'The Mound, Backlot, Elstree Studios, Borehamwood, Hertfordshire, England, UK ': ['51.65814', '-0.269236'], 'Canterbury House, Borehamwood, Hertfordshire, England, UK ': ['51.660918', '-0.275443']}"
t4154756,Avengers: Infinity War,"{'Cockburn Street, Edinburgh, Scotland, UK ': ['55.950619', '-3.189887'], 'Durham Cathedral, The College, Durham, County Durham, England, UK ': ['54.773233', '-1.576392'], 'Banaue Rice Terraces, Ifugao, Philippines ': ['16.93467', '121.135374'], 'Lençóis Maranhenses National Park, Maranhao, Brazil ': ['-2.485939', '-43.128407'], 'Waverly Train Station, Edinburgh, Scotland, UK ': ['55.952078', '-3.183681'], 'Inverness Castle, Scotland, UK ': ['57.47632', '-4.225362'], 'Royal Mile, Edinburgh, Scotland, UK ': ['55.950109', '-3.188021'], 'St Abbs Head, Berwickshire, Scotland, UK ': ['55.916374', '-2.141132'], 'Pinewood Atlanta Studios - 461 Sandy Creek Road, Fayetteville, Georgia, USA ': ['33.474453', '-84.510913'], 'Atlanta, Georgia, USA ': ['33.7489954', '-84.3879824'], 'Tallulah Gorge, Tallulah Falls, Georgia, USA ': ['34.72509429999999', '-83.37016410000001'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413'], 'Piedmont Park, 1071 Piedmont Ave NE, Atlanta, Georgia, USA ': ['33.783893', '-84.3786'], '84, Walton Street NW, Atlanta, Georgia, USA ': ['33.75654', '-84.391172'], 'Woodruff Park, Peachtree St NE, Atlanta, Georgia, USA ': ['33.755217', '-84.388628'], '103 Forsyth St NW, Atlanta, Georgia, USA ': ['33.757478', '-84.387928']}"
t0051201,Witness for the Prosecution,"{'Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA ': ['34.017707', '-118.401431']}"
t0090605,Aliens,"{'Acton Lane Power Station, Acton Lane, Acton, London, England, UK ': ['51.534288', '-0.257883'], 'Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.550431', '-0.53533'], 'Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.548788', '-0.532241'], 'E Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.548788', '-0.532241'], 'Long Process Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.548788', '-0.532241'], 'S Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK ': ['51.548788', '-0.532241']}"
t0169547,American Beauty,"{'Sacramento, California, USA ': ['38.5815719', '-121.4943996'], 'South High School - 4801 Pacific Coast Highway, Torrance, California, USA ': ['33.81205', '-118.363833'], '20105 Saticoy Rd., Canoga Park, Los Angeles, California, USA ': ['34.208557', '-118.571748'], 'Los Angeles Police Academy - 1880 N. Academy Drive, Elysian Park, Los Angeles, California, USA ': ['34.082158', '-118.241627'], '11388 Homedale Street, Brentwood, Los Angeles, California, USA ': ['34.067918', '-118.465764'], 'Alameda Avenue, Burbank, California, USA ': ['34.181662', '-118.292223'], 'Long Beach Polytechnic High School - 1600 Atlantic Avenue, Long Beach, California, USA ': ['33.786958', '-118.184226'], '330 S. Windsor Blvd., Hancock Park, Los Angeles, California, USA ': ['34.067922', '-118.321127'], 'Chatsworth, Los Angeles, California, USA ': ['34.2506356', '-118.61481'], 'South Bay, Los Angeles, California, USA ': ['33.879839', '-118.381256'], 'Blondie Street, Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA ': ['34.157039', '-118.344254'], 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA ': ['34.148731', '-118.338686']}"
t4633694,Spider-Man: Into the Spider-Verse,no
t0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"{'Banff National Park, Alberta, Canada ': ['51.496846', '-115.928056'], 'Québec, Canada ': ['46.8138783', '-71.2079809'], 'Arctic ': ['76.250578', '-100.113952'], 'Iceland ': ['64.963051', '-19.020835000000034'], 'Rocky Mountains, Colorado, USA ': ['39.5500507', '-105.7820674'], 'Shepperton Studios, Shepperton, Surrey, England, UK ': ['51.407549', '-0.463643'], 'Greenland ': ['71.706936', '-42.604303000000016'], 'Northwest Territories, Canada ': ['64.825544', '-124.845733'], 'Okaloosa County, Florida, USA ': ['30.57734009999999', '-86.66110830000002'], 'Heathrow Airport, The Compass Centre, Nelson Road, Hounslow, Greater London, England, UK ': ['51.481134', '-0.46886'], 'London, Greater London, England, UK ': ['51.5073509', '-0.1277583'], 'England, UK ': ['52.3555177', '-1.1743197000000691'], 'Hounslow, Greater London, England, UK ': ['51.460922', '-0.373149'], 'A Stage, Shepperton Studios, Shepperton, Surrey, England, UK ': ['51.407549', '-0.463643']}"
t1345836,The Dark Knight Rises,"{'Mehrangarh Fort, Jodhpur, Rajasthan, India ': ['26.297936', '73.018844'], 'Wollaton Hall, Nottingham, Nottinghamshire, England, UK ': ['52.94787', '-1.209748'], 'Pittsburgh, Pennsylvania, USA ': ['40.4406248', '-79.9958864'], 'Old Royal Naval College, Greenwich, London, England, UK ': ['51.483206', '-0.005915'], 'Chand Baori, Abhaneri, Rajasthan, India ': ['27.007267', '76.60648'], 'Heinz Field - 100 Art Rooney Avenue, Pittsburgh, Pennsylvania, USA ': ['40.446739', '-80.015837'], 'Cairngorms National Park, Scotland, UK ': ['57.049219', '-3.561567'], 'Osterley Park House, Isleworth, Middlesex, England, UK ': ['51.489312', '-0.352083'], 'Delta Point, Croydon, London, England, UK ': ['51.378972', '-0.100466'], 'Inverness Airport, Dalcross, Highland, Scotland, UK ': ['57.542202', '-4.049586'], 'Downtown, Los Angeles, California, USA ': ['34.040713', '-118.246769'], 'Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA ': ['40.443466', '-79.943457'], 'Wall Street, Manhattan, New York City, New York, USA ': ['40.706001', '-74.008801'], 'Queensboro Bridge, Manhattan, New York City, New York, USA ': ['40.756732', '-73.954224'], 'Scotland, UK ': ['56.49067119999999', '-4.2026458000000275'], 'Stansted Airport, Essex, England, UK ': ['51.8860181', '0.23886609999999564'], '550 S Hope St, Los Angeles, California, USA ': ['34.049721', '-118.255632'], 'George Farmiloe Building - 28-36 St John Street, Clerkenwell, London, England, UK ': ['51.520829', '-0.101684'], 'Newark, New Jersey, USA ': ['40.735657', '-74.1723667'], 'The Farmiloe Building, 34 St John Street, London, England, UK ': ['51.520716', '-0.10132'], 'Trump Tower - 725 Fifth Avenue, Manhattan, New York City, New York, USA ': ['40.762428', '-73.973794'], 'Stage 30, Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA ': ['34.017095', '-118.402116'], 'One Liberty Plaza, 165 Broadway, New York City, New York, USA ': ['40.709808', '-74.01079'], 'Cardington Airship Hangars, Bedfordshire, England, UK ': ['52.109389', '-0.422906'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'Nottingham, Nottinghamshire, England, UK ': ['52.95478319999999', '-1.1581085999999914'], 'Union Station - 800 N. Alameda Street, Downtown, Los Angeles, California, USA ': ['34.056219', '-118.236502'], 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA ': ['34.148731', '-118.338686'], 'Third Street Tunnel, Bunker Hill, Downtown, Los Angeles, California, USA ': ['34.052886', '-118.251096'], 'El Camino College - 16007 Crenshaw Blvd, Torrance, California, USA ': ['33.885236', '-118.328442'], 'Senate House, University College London, Malet Street, Bloomsbury, London, England, UK ': ['51.520809', '-0.12849'], 'Uzbekistan ': ['41.377491', '64.58526200000006'], 'Henrhyd Falls, Brecon Beacons, Wales, UK ': ['51.881473', '-3.443504'], 'Greenwood Lake, New York, USA ': ['41.222594', '-74.294317'], 'London, England, UK ': ['51.5073509', '-0.1277583'], 'Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA ': ['34.017095', '-118.402116'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413']}"
t0364569,Oldboy,"{'Busan, South Korea ': ['35.1795543', '129.07564160000004'], 'Mount Lyford, Southern Alps, New Zealand ': ['-43.5', '170.5'], 'Seoul, South Korea ': ['37.566535', '126.97796919999996'], 'Songgye High School, Chinju, Kyongsangnam-Do, South Korea ': ['35.179982', '128.107621'], 'South Korea ': ['35.907757', '127.76692200000002']}"
t7286456,Joker,"{'1150 Anderson Ave, The Bronx, New York City, New York, USA ': ['40.835848', '-73.924179'], 'Harlem, Manhattan, New York City, New York, USA ': ['40.8115504', '-73.9464769'], 'Bronx, New York City, New York, USA ': ['40.844782', '-73.864827'], 'Market Street at Washington Street, Newark, New Jersey, USA ': ['40.736416', '-74.175081'], 'Jersey City, New Jersey, USA ': ['40.72815749999999', '-74.07764170000002'], 'Manhattan, New York City, New York, USA ': ['40.790278', '-73.959722'], 'Newark Paramount Theatre, Market St, Newark, New Jersey, USA ': ['40.735665', '-74.170929'], 'New York City, New York, USA ': ['40.7127837', '-74.0059413'], 'Hudson County Courthouse, Jersey City, New Jersey, USA ': ['40.728499', '-74.063026'], ""Loew's Jersey Theatre, Jersey City, New Jersey, USA "": ['40.732099', '-74.064132'], 'Chinatown, New York City, New York, USA ': ['40.715751', '-73.997031'], 'Brooklyn Army Terminal, Sunset Park, Brooklyn, New York City, New York, USA ': ['40.644159', '-74.024967'], '3396 Jerome Ave, The Bronx, New York City, New York, USA ': ['40.88054', '-73.883415'], 'Paramount Theatre, Newark, New Jersey, USA ': ['40.735665', '-74.170929'], 'New York, USA ': ['40.7127837', '-74.0059413'], '199 Cherry St, New York City, New York, USA ': ['40.710583', '-73.993218'], 'Disused lower level platforms, 9th Avenue Subway Station, Brooklyn, New York City, New York, USA ': ['40.646319', '-73.994369'], 'Seagram Building, New York City, New York, USA ': ['40.758628', '-73.97179'], 'Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA ': ['40.700521', '-73.96686'], 'West Side Highway & 136th St, New York City, New York, USA ': ['40.780616', '-73.987713'], '20 Exchange Place, Financial District, New York City, New York, USA ': ['40.705497', '-74.009654'], 'USA ': ['44.427963', '-110.58845500000001']}"
t0086879,Amadeus,"{'Barrandov Studios, Prague, Czech Republic ': ['50.030742', '14.391497'], 'Hradcany Square, Hradcany, Prague, Czech Republic ': ['50.089499', '14.396193'], ""St Giles' Church, Husova Street, Old Town, Prague, Czech Republic "": ['50.085023', '14.418611'], 'Wien Südbahnhof - Wiedner Gürtel 1, Favoriten, Vienna, Austria ': ['48.185125', '16.376082'], 'Tyl Theatre, Plzen, Czech Republic ': ['49.745462', '13.37355'], 'Hradcanske Námestí, Hradcany, Prague, Czech Republic ': ['50.08946', '14.39713'], 'Estates Theatre, Ovocný trh 1, Old Town, Prague, Czech Republic ': ['50.085978', '14.423665'], 'Gryspek Palace, Hradcany Square, Hradcany, Prague, Czech Republic ': ['50.089499', '14.396193'], 'Old Town, Prague, Czech Republic ': ['50.089438', '14.419407'], 'Palace of the Grand Prior of the Knights of Malta, Maltese Square, Malá Strana, Prague, Czech Republic ': ['50.085482', '14.415817'], 'Monte Argentario, Grosseto, Tuscany, Italy ': ['42.407268', '11.150411'], ""Archbishop's Palace, Kromeríz, Czech Republic "": ['49.300478', '17.393528'], 'Maltese Square, Malá Strana, Prague, Czech Republic ': ['50.085482', '14.415817'], 'Malá Strana, Prague, Czech Republic ': ['50.087705', '14.403893'], 'Château de Guermantes, Seine-et-Marne, France ': ['48.85267', '2.697727'], 'Kromeríz, Czech Republic ': ['49.2916582', '17.3993799'], 'France ': ['46.227638', '2.213749000000007']}"
t0361748,Inglourious Basterds,"{'Paris, France ': ['48.856614', '2.3522219'], 'Görlitz, Saxony, Germany ': ['51.150627', '14.968707'], 'Studio Babelsberg, Potsdam, Brandenburg, Germany ': ['52.387024', '13.120175'], 'Brasserie La Renaissance, 112 rue Championnet, Paris 18, Paris, France ': ['48.895844', '2.339743'], 'Bad Schandau, Saxony, Germany ': ['50.920741', '14.153571'], 'Elbe Sandstone Mountains, Saxony, Germany ': ['51.104541', '13.201738'], 'Rüdersdorf, Brandenburg, Germany ': ['52.481592', '13.837397'], 'Fort Hahneberg, Berlin, Germany ': ['52.522162', '13.138743'], 'Nauen, Brandenburg, Germany ': ['52.606917', '12.881489'], 'Sebnitz, Saxony, Germany ': ['50.970912', '14.273873'], 'Babelsberg, Potsdam, Brandenburg, Germany ': ['52.387563', '13.102872'], 'Krampnitz, Brandenburg, Germany ': ['52.4125287', '12.5316444'], 'Marlene-Dietrich-Halle, Studio Babelsberg, Potsdam, Brandenburg, Germany ': ['52.387024', '13.120175']}"
t2380307,Coco,"{'Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA ': ['37.83266', '-122.283723'], 'Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA ': ['34.155597', '-118.323087'], 'Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA ': ['34.15681', '-118.325089']}"
t0114709,Toy Story,no
t0112573,Braveheart,"{'Fort William, Glen Coe, Highland, Scotland, UK ': ['56.81981700000001', '-5.105218000000036'], 'Arizona, USA ': ['34.0489281', '-111.09373110000001'], 'Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland ': ['53.196688', '-6.124811'], 'Glen Nevis, Fort William, Highland, Scotland, UK ': ['56.812903', '-5.077825'], 'Aonach Eagach, Highland, Scotland, UK ': ['56.666667', '-5.033333'], 'Coronation Plantation, County Wicklow, Ireland ': ['53.155712', '-6.362718'], 'Loch Leven, Onich, Highland, Scotland, UK ': ['56.682981', '-5.142347'], 'Ballymore Eustace, County Kildare, Ireland ': ['53.13301', '-6.614881'], 'Trim Castle, Trim, County Meath, Ireland ': ['53.554421', '-6.789399'], 'Bective Abbey, County Meath, Ireland ': ['53.582474', '-6.702894'], 'Curragh Plains, County Kildare, Ireland ': ['53.160457', '-6.894413'], 'Dunsany Castle, County Meath, Ireland ': ['53.535595', '-6.620791'], ""Sally's Gap, County Wicklow, Ireland "": ['53.1369', '-6.31'], 'The Curragh, County Kildare, Ireland ': ['53.142027', '-6.828595'], ""King John's Castle, Trim, County Meath, Ireland "": ['53.552687', '-6.763182'], 'Kippure Estate, Blessington, County Wicklow, Ireland ': ['53.166498', '-6.379355'], 'Trim, County Meath, Ireland ': ['53.5548258', '-6.791114999999991'], 'Dunsoghly Castle, County Dublin, Ireland ': ['53.426895', '-6.318219'], 'Glen Coe, Highland, Scotland, UK ': ['56.68255989999999', '-5.102271299999984'], 'Luggala Estate, County Wicklow, Ireland ': ['53.1005', '-6.26282'], 'St Margarets, Dublin, County Dublin, Ireland ': ['53.302439', '-6.192856']}"
t0082096,The Boat,"{'North Sea near Heligoland ': ['54.180327', '7.888944'], 'La Pallice, La Rochelle, Charente-Maritime, France ': ['46.162575', '-1.205105'], 'Bodensee, Bavaria, Germany ': ['48.790447', '11.497889'], 'Bavaria Studios, Bavariafilmplatz 7, Geiselgasteig, Grünwald, Bavaria, Germany ': ['48.066689', '11.549976'], 'Atlantic Ocean ': ['-14.599413', '-28.673147']}"
t4154796,Avengers: Endgame,"{'Durham Cathedral, The College, Durham, County Durham, England, UK ': ['54.773233', '-1.576392'], 'Atlanta, Georgia, USA ': ['33.7489954', '-84.3879824'], 'St Abbs, Eyemouth, TD14 5PL, UK ': ['55.899834', '-2.132907'], 'Pinewood Atlanta Studios - 461 Sandy Creek Road, Fayetteville, Georgia, USA ': ['33.474453', '-84.510913'], 'UK ': ['55.378051', '-3.43597299999999'], 'Japan ': ['36.204824', '138.252924'], 'SANY America, 318 Cooper Circle, Peachtree City, Georgia, USA ': ['33.345746', '-84.555797'], 'Georgia, USA ': ['32.1656221', '-82.9000751'], 'Edwards AFB, California, USA ': ['34.924031', '-117.891209'], 'USA ': ['44.427963', '-110.58845500000001'], 'The Proscenium, 1170 Peachtree Street NE, Atlanta, Georgia, USA ': ['33.786431', '-84.383732'], 'Facing MLK Jr Drive., 100 Broad St SW, Atlanta, Georgia, USA ': ['33.753315', '-84.392284']}"
t0119698,Princess Mononoke,no
t0087843,Once Upon a Time in America,"{'Williamsburg Bridge, New York City, New York, USA ': ['40.712713', '-73.968882'], 'Cinecittà Studios, Cinecittà, Rome, Lazio, Italy ': ['41.85179', '12.57718'], 'Don Cesar Hotel - 3400 Gulf Boulevard, St. Petersburg, Florida, USA ': ['27.70927', '-82.73732'], 'Hoboken Terminal - 1 Hudson Place, Hoboken, New Jersey, USA ': ['40.734982', '-74.027592'], 'Woodlawn Cemetery, Bronx, New York City, New York, USA ': ['40.888249', '-73.872023'], 'Intersection of Washington Street and Water Street, Dumbo, Brooklyn, New York City, New York, USA ': ['40.703216', '-73.989594'], 'Gare du Nord, Paris 10, Paris, France ': ['48.8809481', '2.3553137000000106'], 'Chambers Paper Fibres, 139 Plymouth Street, Brooklyn, New York City, New York, USA ': ['40.703923', '-73.987917'], 'Ocean Avenue and Warren Avenue, Spring Lake, New Jersey, USA ': ['40.149336', '-74.023209'], '300 Rue de Moyne, Montreal, Quebec, Canada ': ['45.501807', '-73.556617'], 'Manhattan Bridge, New York City, New York, USA ': ['40.706699', '-73.990295'], 'Louiseville, Québec, Canada ': ['46.255994', '-72.943221'], '95 South 8th Street, Brooklyn, New York City, New York, USA ': ['40.709885', '-73.965281'], '449 Rue Saint-Pierre, Montreal, Quebec, Canada ': ['45.50206', '-73.55781'], 'Porto Marghera, Venice, Veneto, Italy ': ['45.462767', '12.266966'], '350 Flushing Avenue, Brooklyn, New York City, New York, USA ': ['40.698078', '-73.960538'], '300 Rue du Saint-Sacrement, Montreal, Quebec, Canada ': ['45.501947', '-73.55696'], 'Vinegar Hill, New York, USA ': ['40.703719', '-73.982268'], '105 South 8th Street, Brooklyn, New York City, New York, USA ': ['40.709819', '-73.964896'], '126 South 8th Street, Brooklyn, New York City, New York, USA ': ['40.709488', '-73.964384'], '2 Main Street, Brooklyn, New York City, New York, USA ': ['40.703573', '-73.990978'], '1228 Rue Sherbrooke Ouest, Montreal, Quebec, Canada ': ['45.500097', '-73.577949'], 'Bordeaux Prison - 800 Boulevard Gouin Ouest, Montreal, Quebec, Canada ': ['45.545192', '-73.685722'], '459 Broome Street, Manhattan, New York City, New York, USA ': ['40.722175', '-74.001161'], '2510 Court Square West, Long Island City, Queens, New York City, New York, USA ': ['40.745785', '-73.943284'], 'Guardia di Finanza Tenenza Castelporziano, Via Pontina 690, Castel Porziano, Rome, Lazio, Italy ': ['41.767617', '12.436454'], '102 South 6th Street, Brooklyn, New York City, New York, USA ': ['40.710589', '-73.9647'], 'Hotel Excelsior Venice, Longomare Guglielmo Marconi 41, Venice, Veneto, Italy ': ['45.404121', '12.366854'], '113 South 8th Street, Brooklyn, New York City, New York, USA ': ['40.70969', '-73.964534'], 'Lake Como, Lombardia, Italy ': ['46.016049', '9.257168']}"
t1745960,Top Gun: Maverick,"{'South Lake Tahoe, California, USA ': ['38.939926', '-119.9771868'], 'Eldorado National Forest, California, USA ': ['38.750185', '-120.334361'], 'Sierra District State Parks, California, USA ': ['36.778261', '-119.41793239999998'], 'Naval Air Station Lemoore, California, USA ': ['36.260643', '-119.910948'], 'Lake Tahoe Basin Mgmt. Unit, South Lake Tahoe, California, USA ': ['38.932581', '-119.973231'], 'The Lake Tahoe Airport, South Lake Tahoe, California, USA ': ['38.892543', '-119.998058'], 'Naval Air Station Fallon, Nevada, USA ': ['39.420442', '-118.72421'], 'Naval Air Station Whidbey Island, Washington, USA ': ['48.34109', '-122.672257'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849'], 'San Diego, California, USA ': ['32.715738', '-117.1610838'], 'El Dorado County, California, USA ': ['38.742638', '-120.435763'], 'Inyokern Airport, California, USA ': ['35.652566', '-117.827296'], 'Naval Air Station North Island, San Diego, California, USA ': ['32.699704', '-117.183048'], 'Fort Rosecrans National Cemetery, Point Loma, California, USA ': ['32.688746', '-117.245708'], '4000 Bluff Pl, San Pedro, California, USA ': ['33.707757', '-118.286179'], 'California, USA ': ['36.778261', '-119.41793239999998'], 'San Francisco Bay, California, USA ': ['37.8271784', '-122.29130780000003'], 'USA ': ['44.427963', '-110.58845500000001']}"
t0119217,Good Will Hunting,"{'Central Tech. High School, Toronto, Ontario, Canada ': ['43.659402', '-79.436623'], 'Toronto, Ontario, Canada ': ['43.653226', '-79.38318429999998'], 'Massachusetts Turnpike, Massachusetts, USA ': ['42.182528', '-72.215291'], 'University of Toronto, Toronto, Ontario, Canada ': ['43.662892', '-79.395656'], 'Upfront Bar & Grill - 106 Front Street E., Toronto, Ontario, Canada ': ['43.650031', '-79.370741'], 'Ontario Specialty Co, Toronto, Ontario, Canada ': ['43.653466', '-79.375742'], 'Dorchester, Boston, Massachusetts, USA ': ['42.30163', '-71.067605'], 'Dunster House, Harvard University, Cambridge, Massachusetts, USA ': ['42.368868', '-71.115963'], 'The Tasty, Harvard Square, Cambridge, Massachusetts, USA ': ['42.372593', '-71.119918'], ""Woody's L Street Tavern - 658 E. Eighth Street #A, South Boston, Boston, Massachusetts, USA "": ['42.3316', '-71.035423'], 'Public Garden - Charles and Beacon Streets, Boston, Massachusetts, USA ': ['42.35462', '-71.070785'], '100 Federal Street, Boston, Massachusetts, USA ': ['42.355028', '-71.056045'], 'McLennan Physical Laboratories, University of Toronto, Toronto, Ontario, Canada ': ['43.660879', '-79.398444'], 'Bow & Arrow Pub - 1 Bow Street, Harvard Square, Cambridge, Massachusetts, USA ': ['42.372185', '-71.115945'], 'Cambridge, Massachusetts, USA ': ['42.3736158', '-71.1097335'], 'E. 5th Street, South Boston, Boston, Massachusetts, USA ': ['42.333957', '-71.034754'], 'Massachusetts Institute of Technology - 77 Massachusetts Avenue, Cambridge, Massachusetts, USA ': ['42.360091', '-71.09416'], 'South Boston District Municipal Court - 535 East Broadway, South Boston, Boston, Massachusetts, USA ': ['42.33522', '-71.042673'], 'Wonderland Greyhound Park - Revere, Massachusetts, USA ': ['42.413693', '-70.991668'], 'Whitney Hall residence, University College, University of Toronto, Toronto, Ontario, Canada ': ['43.663149', '-79.395783'], 'Harvard Square, Cambridge, Massachusetts, USA ': ['42.372989', '-71.120902'], 'W. 5th Street, South Boston, Boston, Massachusetts, USA ': ['42.337488', '-71.052387'], 'Boston, Massachusetts, USA ': ['42.3600825', '-71.0588801'], 'Bunker Hill Community College - 250 N. Rutherford Avenue, Charlestown, Massachusetts, USA ': ['42.375066', '-71.069518']}"
t5311514,Your Name.,no
t0180093,Requiem for a Dream,"{'Coney Island, Brooklyn, New York City, New York, USA ': ['40.5749261', '-73.9859414'], 'Red Hook, Brooklyn, New York City, New York, USA ': ['40.67728', '-74.009447'], 'Brooklyn, New York City, New York, USA ': ['40.6781784', '-73.9441579']}"
t0045152,Singin' in the Rain,"{'Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA ': ['34.017707', '-118.401431'], ""Grauman's Chinese Theater - 6925 Hollywood Blvd., Hollywood, Los Angeles, California, USA "": ['34.102023', '-118.340971'], 'Los Angeles, California, USA ': ['34.0522342', '-118.2436849']}"
t0435761,Toy Story 3,"{'Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA ': ['37.83266', '-122.283723'], 'Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA ': ['34.155597', '-118.323087'], 'Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA ': ['34.15681', '-118.325089']}"
t1187043,3 Idiots,"{'IIM Campus, Bangalore, Karnataka, India ': ['12.895615', '77.602547'], 'Pangong Tso, Ladakh, Jammu & Kashmir, India ': ['33.737961', '79.007529'], 'Madh Island, Mumbai, Maharashtra, India ': ['19.148491', '72.789161'], 'Noida, Uttar Pradesh, India ': ['28.5355161', '77.39102649999995'], 'Woodville Palace Hotel, Shimla, Himachal Pradesh, India ': ['31.092532', '77.177499'], 'Mumbai, Maharashtra, India ': ['19.0759837', '72.8776559'], 'Indira Gandhi International Airport, Vasant Vihar, South West Delhi, Delhi, India ': ['28.5561624', '77.0999578'], 'Mall Road, Shimla, Himachal Pradesh, India ': ['31.098903', '77.175584'], 'Bangalore, Karnataka, India ': ['12.9715987', '77.5945627'], 'Delhi, India ': ['28.704059', '77.10249']}"
